City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Koson,UZ,39.0375,65.585,44.92,54,100,8.52,overcast clouds
227,North Tonawanda,US,43.0387,-78.8642,40.12,55,75,7.0,broken clouds
228,Samsun,TR,41.25,36.3333,50.76,54,75,6.91,broken clouds
229,Bandarbeyla,SO,9.4942,50.8122,74.75,77,13,15.35,few clouds
230,Kavieng,PG,-2.5744,150.7967,82.31,72,100,6.91,overcast clouds
231,Bethanien,NA,-26.502,17.1583,73.72,69,95,3.51,light rain
232,Plyussa,RU,58.4308,29.3654,8.82,99,99,2.98,overcast clouds
233,Utiel,ES,39.5667,-1.2,44.22,82,0,5.97,clear sky
234,Jinchang,CN,38.4953,102.1739,24.98,29,48,5.12,scattered clouds
235,Sistranda,NO,63.7256,8.834,23.9,71,100,2.08,overcast clouds
236,Kieta,PG,-6.2167,155.6333,84.25,72,68,9.91,light rain
237,Fernandina Beach,US,30.6697,-81.4626,55.94,92,0,1.99,clear sky
238,Port Lincoln,AU,-34.7333,135.8667,64.67,52,95,17.09,overcast clouds
239,Labuhan,ID,-6.8844,112.2051,84.6,69,34,4.68,scattered clouds
240,Port Blair,IN,11.6667,92.75,78.84,78,20,2.3,mist
241,Hailar,CN,49.2,119.7,-5.96,94,99,6.6,overcast clouds
242,Hauterive,CA,49.1833,-68.2667,14.18,73,40,14.97,scattered clouds
243,Hami,CN,42.8,93.45,24.67,28,100,0.69,overcast clouds
244,Alta Floresta,BR,-9.8756,-56.0861,69.53,96,53,2.19,broken clouds
245,Salisbury,GB,51.0693,-1.7957,50.52,91,100,13.8,overcast clouds
246,Nanakuli,US,21.3906,-158.1547,82.35,54,40,4.61,scattered clouds
247,Kutum,SD,14.2,24.6667,53.78,25,0,6.08,clear sky
248,Elizabeth City,US,36.2946,-76.2511,39.02,91,0,9.22,clear sky
249,Leh,IN,34.1667,77.5833,-1.5,74,95,2.64,overcast clouds
250,Evensk,RU,61.95,159.2333,20.79,77,100,22.53,overcast clouds
251,Sainte-Adele,CA,45.9501,-74.1325,28.22,83,100,2.66,overcast clouds
252,Poya,NC,-21.35,165.15,86.36,55,72,10.25,broken clouds
253,Tabou,CI,4.423,-7.3528,77.5,82,100,2.21,overcast clouds
254,Dzhebariki-Khaya,RU,62.2167,135.8,-20.72,94,100,1.03,overcast clouds
255,Angamali,IN,10.2,76.4,76.95,88,20,4.61,mist
256,Port Keats,AU,-14.25,129.55,84.56,76,99,18.75,overcast clouds
257,Lidkoping,SE,58.5052,13.1577,28.29,3,100,9.78,light snow
258,Aykhal,RU,66.0,111.5,-18.99,100,12,2.53,few clouds
259,Talnakh,RU,69.4865,88.3972,2.21,95,100,7.29,overcast clouds
260,Naze,JP,28.3667,129.4833,56.32,73,100,13.15,overcast clouds
261,Edd,ER,13.9297,41.6925,76.78,76,68,2.01,broken clouds
262,Saint-Joseph,RE,-21.3667,55.6167,80.96,94,100,24.67,moderate rain
263,Kristiinankaupunki,FI,62.2743,21.376,9.95,98,100,4.25,overcast clouds
264,Zhigansk,RU,66.7697,123.3711,-25.1,98,87,8.39,overcast clouds
265,Chumphon,TH,10.3333,98.8333,80.71,56,49,6.08,scattered clouds
266,Cidreira,BR,-30.1811,-50.2056,72.77,75,0,13.82,clear sky
267,Groningen,SR,5.8,-55.4667,77.92,88,29,5.01,scattered clouds
268,Preston,US,42.0963,-111.8766,26.67,92,31,3.31,scattered clouds
269,Alofi,NU,-19.0595,-169.9187,78.69,83,75,3.44,light intensity shower rain
270,Vangaindrano,MG,-23.35,47.6,73.76,81,57,3.44,broken clouds
271,Afipskiy,RU,44.9021,38.8439,38.05,79,100,8.86,overcast clouds
272,Springdale,CA,49.5,-56.0649,4.89,87,2,3.69,clear sky
273,Dingle,IE,52.1408,-10.2689,51.26,74,99,15.26,overcast clouds
274,Aguilas,ES,37.4063,-1.5829,52.14,66,0,5.84,clear sky
275,Sur,OM,22.5667,59.5289,71.91,66,13,6.76,few clouds
276,Karpogory,RU,64.0019,44.4451,15.26,95,100,5.77,light snow
277,Havoysund,NO,70.9963,24.6622,23.88,68,84,12.64,broken clouds
278,Heihe,CN,50.2441,127.4902,3.78,73,6,12.06,clear sky
